Table,Variable,Frequency,Dimensions,Standard Name,Long Name,Comment,Modeling Realm,Units,Positive,Cell Methods,Cell Measures
E3hrPt,co2,3hrPt,longitude latitude alevel time1,mole_fraction_of_carbon_dioxide_in_air,Mole Fraction of CO2,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",atmos,mol mol-1,,area: mean time: point,area: areacella
E3hrPt,hus,3hrPt,longitude latitude alevel time1,specific_humidity,Specific Humidity,Specific humidity is the mass fraction of water vapor in (moist) air.,atmos,1,,area: mean time: point,area: areacella
E3hrPt,hus7h,3hrPt,longitude latitude plev7h time1,specific_humidity,Specific Humidity,Specific humidity is the mass fraction of water vapor in (moist) air.,atmos,1,,area: mean time: point,area: areacella
E3hrPt,jpdftaureicemodis,3hrPt,longitude latitude effectRadIc tau time1,cloud_area_fraction_in_atmosphere_layer,"MODIS Joint Distribution of Optical Thickness and Particle Size, Ice","Joint probability distribution function, giving probability of cloud as a function of optical thickness and particle size, as measured by MODIS. For cloud ice particles.",atmos,%,,area: mean time: point,area: areacella
E3hrPt,jpdftaureliqmodis,3hrPt,longitude latitude effectRadLi tau time1,cloud_area_fraction_in_atmosphere_layer,"MODIS Optical Thickness-Particle Size Joint Distribution, Liquid","Joint probability distribution function, giving probability of cloud as a function of optical thickness and particle size, as measured by MODIS. For liquid cloud particles.",atmos,%,,area: mean time: point,area: areacella
E3hrPt,n2o,3hrPt,longitude latitude alevel time1,mole_fraction_of_nitrous_oxide_in_air,Mole Fraction of N2O,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.   The chemical formula of  nitrous oxide is N2O.",atmos,mol mol-1,,area: mean time: point,area: areacella
E3hrPt,o3,3hrPt,longitude latitude alevel time1,mole_fraction_of_ozone_in_air,Mole Fraction of O3,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.",atmos,mol mol-1,,area: mean time: point,area: areacella
E3hrPt,parasolRefl,3hrPt,longitude latitude sza5 time1,toa_bidirectional_reflectance,PARASOL Reflectance,Simulated reflectance from PARASOL as seen at the top of the atmosphere for 5 solar zenith angles. Valid only over ocean and for one viewing direction (viewing zenith angle of 30 degrees and relative azimuth angle 320 degrees).,atmos,1,,area: mean where sea time: point,area: areacella
E3hrPt,ps,3hrPt,longitude latitude time1,surface_air_pressure,Surface Air Pressure,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",atmos,Pa,,area: mean time: point,area: areacella
E3hrPt,rsdcs,3hrPt,longitude latitude alevhalf time1,downwelling_shortwave_flux_in_air_assuming_clear_sky,Downwelling Clear-Sky Shortwave Radiation,Downwelling clear-sky shortwave radiation (includes the fluxes at the surface and top-of-atmosphere),atmos,W m-2,down,area: mean time: point,area: areacella
E3hrPt,rsdcsaf,3hrPt,longitude latitude alevhalf time1,downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation",Calculated in the absence of aerosols and clouds (following Ghan). This requires a double-call in the radiation code with precisely the same meteorology.,aerosol,W m-2,down,area: mean time: point,area: areacella
E3hrPt,rsdcsafbnd,3hrPt,longitude latitude alevhalf spectband time1,downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"Downwelling Clear-Sky, Aerosol-Free, Shortwave Radiation in Bands",Calculated in the absence of aerosols and clouds (following Ghan). This requires a double-call in the radiation code with precisely the same meteorology.,aerosol,W m-2,down,area: mean time: point,area: areacella
E3hrPt,rsdcsbnd,3hrPt,longitude latitude alevhalf spectband time1,downwelling_shortwave_flux_in_air_assuming_clear_sky,Downwelling Clear-Sky Shortwave Radiation at Each Level for Each Band,Calculated with aerosols but without clouds. This is a standard clear-sky calculation,atmos,W m-2,down,area: mean time: point,area: areacella
E3hrPt,rsdscsaf,3hrPt,longitude latitude time1,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"Surface Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation",Calculated in the absence of aerosols and clouds.,aerosol,W m-2,down,area: mean time: point,area: areacella
E3hrPt,rsdscsafbnd,3hrPt,longitude latitude spectband time1,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"Surface Downwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands","Calculated in the absence of aerosols and clouds, following Ghan (2013, ACP). This requires a double-call in the radiation code with precisely the same meteorology.",aerosol,W m-2,down,time: point,area: areacella
E3hrPt,rsdscsbnd,3hrPt,longitude latitude spectband time1,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Shortwave Radiation for Each Band,Calculated with aerosols but without clouds. This is a standard clear-sky calculation,atmos,W m-2,down,time: point,area: areacella
E3hrPt,rsucs,3hrPt,longitude latitude alevhalf time1,upwelling_shortwave_flux_in_air_assuming_clear_sky,Upwelling Clear-Sky Shortwave Radiation,Upwelling clear-sky shortwave radiation  (includes the fluxes at the surface and TOA),atmos,W m-2,up,area: mean time: point,area: areacella
E3hrPt,rsucsaf,3hrPt,longitude latitude alevhalf time1,upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation",Calculated in the absence of aerosols and clouds (following Ghan). This requires a double-call in the radiation code with precisely the same meteorology.,aerosol,W m-2,up,area: mean time: point,area: areacella
E3hrPt,rsucsafbnd,3hrPt,longitude latitude alevhalf spectband time1,upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",Calculated in the absence of aerosols and clouds (following Ghan). This requires a double-call in the radiation code with precisely the same meteorology.,aerosol,W m-2,up,area: mean time: point,area: areacella
E3hrPt,rsucsbnd,3hrPt,longitude latitude alevhalf spectband time1,upwelling_shortwave_flux_in_air_assuming_clear_sky,Upwelling Clear-Sky Shortwave Radiation at Each Level for Each Band,Calculated with aerosols but without clouds. This is a standard clear-sky calculation,atmos,W m-2,up,area: mean time: point,area: areacella
E3hrPt,rsuscsaf,3hrPt,longitude latitude time1,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,Surface Upwelling Clean Clear-Sky Shortwave Radiation,"Surface Upwelling Clear-sky, Aerosol Free Shortwave Radiation",aerosol,W m-2,up,area: mean time: point,area: areacella
E3hrPt,rsuscsafbnd,3hrPt,longitude latitude spectband time1,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky_and_no_aerosol,"Surface Upwelling Clear-Sky, Aerosol-Free Shortwave Radiation in Bands","Calculated in the absence of aerosols and clouds, following Ghan (ACP, 2013). This requires a double-call in the radiation code with precisely the same meteorology.",aerosol,W m-2,up,time: point,area: areacella
E3hrPt,rsuscsbnd,3hrPt,longitude latitude spectband time1,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Shortwave Radiation for Each Band,Calculated with aerosols but without clouds. This is a standard clear-sky calculation,atmos,W m-2,up,time: point,area: areacella
E3hrPt,rsutcsaf,3hrPt,longitude latitude time1,toa_outgoing_shortwave_flux_assuming_clear_sky_and_no_aerosol,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation","Flux corresponding to rsutcs resulting from aerosol-free call to radiation, following Ghan (ACP, 2013)",aerosol,W m-2,up,area: mean time: point,area: areacella
E3hrPt,rsutcsafbnd,3hrPt,longitude latitude spectband time1,toa_outgoing_shortwave_flux_assuming_clear_sky_and_no_aerosol,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation in Bands","Calculated in the absence of aerosols and clouds, following Ghan (2013, ACP). This requires a double-call in the radiation code with precisely the same meteorology.",atmos,W m-2,up,time: point,area: areacella
E3hrPt,rsutcsbnd,3hrPt,longitude latitude spectband time1,toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation for Each Band,Calculated with aerosols but without clouds. This is a standard clear-sky calculation,atmos,W m-2,up,time: point,area: areacella
E3hrPt,solbnd,3hrPt,longitude latitude spectband time1,toa_incoming_shortwave_flux,TOA Solar Irradiance for Each Band,Solar irradiance at a horizontal surface at top of atmosphere.,atmos,W m-2,,time: point,area: areacella
E3hrPt,sza,3hrPt,longitude latitude time1,solar_zenith_angle,Solar Zenith Angle,The angle between the line of sight to the sun and the local vertical,atmos,degree,,area: mean time: point,area: areacella
E3hrPt,ta7h,3hrPt,longitude latitude plev7h time1,air_temperature,Air Temperature,Air Temperature,atmos,K,,area: mean time: point,area: areacella
E3hrPt,ua7h,3hrPt,longitude latitude plev7h time1,eastward_wind,Eastward Wind,Zonal wind (positive in a eastward direction).,atmos,m s-1,,area: mean time: point,area: areacella
E3hrPt,va7h,3hrPt,longitude latitude plev7h time1,northward_wind,Northward Wind,Meridional wind (positive in a northward direction).,atmos,m s-1,,area: mean time: point,area: areacella
E3hrPt,wap7h,3hrPt,longitude latitude plev7h time1,lagrangian_tendency_of_air_pressure,Omega (=dp/dt),"Omega (vertical velocity in pressure coordinates, positive downwards)",atmos,Pa s-1,,area: mean time: point,area: areacella
Efx,clayfrac,fx,longitude latitude sdepth,volume_fraction_of_clay_in_soil,Clay Fraction,"'Volume fraction' is used in the construction volume_fraction_of_X_in_Y, where X is a material constituent of Y.",land,1,,area: mean where land,area: areacella
Efx,fldcapacity,fx,longitude latitude sdepth,volume_fraction_of_condensed_water_in_soil_at_field_capacity,Field Capacity,The field capacity of soil is the maximum content of water it can retain against gravitational drainage. Provide as a percentage of the soil volume.,land,%,,area: mean where land,area: areacella
Efx,ksat,fx,longitude latitude sdepth,soil_hydraulic_conductivity_at_saturation,Saturated Hydraulic Conductivity,"Hydraulic conductivity is the constant k in Darcy's Law q=-k grad h for fluid flow q (volume transport per unit area i.e. velocity) through a porous medium, where h is the hydraulic head (pressure expressed as an equivalent depth of water).",land,micron s-1,,area: mean where land,area: areacella
Efx,ps,fx,longitude latitude,surface_air_pressure,Surface Air Pressure,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",atmos,Pa,,area: mean,area: areacella
Efx,rld,fx,alevhalf spectband,downwelling_longwave_flux_in_air,Downwelling Longwave Radiation,Downwelling Longwave Radiation (includes the fluxes at the surface and TOA),atmos,W m-2,down,area: point,
Efx,rlu,fx,alevhalf spectband,upwelling_longwave_flux_in_air,Upwelling Longwave Radiation,Upwelling longwave radiation (includes the fluxes at the surface and TOA),atmos,W m-2,up,area: point,
Efx,rootdsl,fx,longitude latitude sdepth,root_mass_content_of_carbon,Root Distribution,Mass of carbon in roots.,land,kg m-2,,area: mean where land,area: areacella
Efx,rsd,fx,alevhalf spectband,downwelling_shortwave_flux_in_air,Downwelling Shortwave Radiation,Downwelling shortwave radiation (includes the fluxes at the surface and top-of-atmosphere),atmos,W m-2,down,area: point,
Efx,rsu,fx,alevhalf spectband,upwelling_shortwave_flux_in_air,Upwelling Shortwave Radiation,Upwelling shortwave radiation  (includes also the fluxes at the surface and top of atmosphere),atmos,W m-2,up,area: point,
Efx,sandfrac,fx,longitude latitude sdepth,volume_fraction_of_sand_in_soil,Sand Fraction,"'Volume fraction' is used in the construction volume_fraction_of_X_in_Y, where X is a material constituent of Y.",land,1,,area: mean where land,area: areacella
Efx,sftflf,fx,longitude latitude,floating_ice_shelf_area_fraction,Floating Ice Shelf Area Percentage,"Percentage of grid cell covered by floating ice shelf, the component of the ice sheet that is flowing over sea water",landIce,%,,area: mean,area: areacella
Efx,sftgrf,fx,longitude latitude,grounded_ice_sheet_area_fraction,Grounded Ice Sheet Area Percentage,Percentage of grid cell covered by grounded ice sheet,landIce,%,,area: mean,area: areacella
Efx,siltfrac,fx,longitude latitude sdepth,volume_fraction_of_silt_in_soil,Silt Fraction,Volume fraction of silt in soil,atmos,1,,area: mean where land,area: areacella
Efx,slthick,fx,longitude latitude sdepth,cell_thickness,Thickness of Soil Layers,'Thickness' means the vertical extent of a layer. 'Cell' refers to a model grid cell.,land,m,,area: mean where land,area: areacella
Efx,vegHeight,fx,longitude latitude,canopy_height,Height of the Vegetation Canopy,Vegetation height averaged over all vegetation types and over the vegetated fraction of a grid cell.,land,m,,area: mean where land,area: areacella
Efx,wilt,fx,longitude latitude sdepth,volume_fraction_of_condensed_water_in_soil_at_wilting_point,Wilting Point,Percentage water content of soil by volume at the wilting point. The wilting point of soil is the water content below which plants cannot extract sufficient water to balance their loss through transpiration. ,land,%,,area: mean where land,area: areacella
IfxAnt,areacellg,fx,longitude latitude,cell_area,Grid-Cell Area for Ice Sheet Variables,Area of the target grid (not the interpolated area of the source grid).,land,m2,,area: sum,
IfxAnt,hfgeoubed,fx,xant yant,upward_geothermal_heat_flux_at_ground_level_in_land_ice,Geothermal Heat Flux Beneath Land Ice,"Upward geothermal heat flux per unit area into the base of grounded land ice. This is related to the geothermal heat flux out of the bedrock, but may be modified by horizontal transport due to run-off and by melting at the interface.",landIce,W m-2,,area: mean where grounded_ice_sheet,area: areacellg
IfxAnt,lithk,fx,xant yant,land_ice_thickness,Ice Sheet Thickness,The thickness of the ice sheet,landIce,m,,area: mean where ice_sheet,area: areacellg
IfxAnt,topg,fx,xant yant,bedrock_altitude,Bedrock Altitude,The bedrock topography beneath the land ice,landIce,m,,area: mean where grounded_ice_sheet,area: areacellg
Emon,c13Land,mon,longitude latitude time,mass_content_of_13C_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,Mass of 13C in All Terrestrial Carbon Pools,"Carbon-13 mass content per unit area in vegetation (any living plants e.g. trees, shrubs, grass), litter (dead plant material in or above the soil), soil, and forestry and agricultural products (e.g. paper, cardboard, furniture, timber for construction, biofuels and food for both humans and livestock).",land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,c13Litter,mon,longitude latitude time,litter_mass_content_of_13C,Mass of 13C in Litter Pool,Carbon-13 mass content per unit area litter (dead plant material in or above the soil).,land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,c13Soil,mon,longitude latitude time,soil_mass_content_of_13C,Mass of 13C in Soil Pool,Carbon-13 mass content per unit area in soil.,land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,c13Veg,mon,longitude latitude time,vegetation_mass_content_of_13C,Mass of 13C in Vegetation,"Carbon-13 mass content per unit area in vegetation (any living plants e.g. trees, shrubs, grass).",land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,c14Land,mon,longitude latitude time,mass_content_of_14C_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,Mass of 14C in All Terrestrial Carbon Pools,"Carbon-14 mass content per unit area in vegetation (any living plants e.g. trees, shrubs, grass), litter (dead plant material in or above the soil), soil, and forestry and agricultural products (e.g. paper, cardboard, furniture, timber for construction, biofuels and food for both humans and livestock).",land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,c14Litter,mon,longitude latitude time,litter_mass_content_of_14C,Mass of 14C in Litter Pool,Carbon-14 mass content per unit area litter (dead plant material in or above the soil).,land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,c14Soil,mon,longitude latitude time,soil_mass_content_of_14C,Mass of 14C in Soil Pool,Carbon-14 mass content per unit area in soil.,land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,c14Veg,mon,longitude latitude time,vegetation_mass_content_of_14C,Mass of 14C in Vegetation,"Carbon-14 mass content per unit area in vegetation (any living plants e.g. trees, shrubs, grass).",land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cLand,mon,longitude latitude time,mass_content_of_carbon_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,Total Carbon in All Terrestrial Carbon Pools,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.,land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cLitterCwd,mon,longitude latitude time,wood_debris_mass_content_of_carbon,Carbon Mass in Coarse Woody Debris,'Content' indicates a quantity per unit area. 'Wood debris' means dead organic matter composed of coarse wood. It is distinct from fine litter. The precise distinction between 'fine' and 'coarse' is model dependent.,land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cLitterGrass,mon,longitude latitude time,litter_mass_content_of_carbon,Carbon Mass in Litter on Grass Tiles,'Litter' is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between 'fine' and 'coarse' is model dependent. 'Content' indicates a quantity per unit area. The sum of the quantities with standard names surface_litter_mass_content_of_carbon and subsurface_litter_mass_content_of_carbon has the standard name litter_mass_content_of_carbon.,land,kg m-2,,area: time: mean where natural_grasses (comment: mask=grassFrac),area: areacella
Emon,cLitterShrub,mon,longitude latitude time,litter_mass_content_of_carbon,Carbon Mass in Litter on Shrub Tiles,'Litter' is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between 'fine' and 'coarse' is model dependent. 'Content' indicates a quantity per unit area. The sum of the quantities with standard names surface_litter_mass_content_of_carbon and subsurface_litter_mass_content_of_carbon has the standard name litter_mass_content_of_carbon.,land,kg m-2,,area: time: mean where shrubs (comment: mask=shrubFrac),area: areacella
Emon,cLitterSubSurf,mon,longitude latitude time,subsurface_litter_mass_content_of_carbon,Carbon Mass in Below-Ground Litter,subsurface litter pool fed by root inputs.,land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cLitterSurf,mon,longitude latitude time,surface_litter_mass_content_of_carbon,Carbon Mass in Above-Ground Litter,Surface or near-surface litter pool fed by leaf and above-ground litterfall,land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cLitterTree,mon,longitude latitude time,litter_mass_content_of_carbon,Carbon Mass in Litter on Tree Tiles,'Litter' is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between 'fine' and 'coarse' is model dependent. 'Content' indicates a quantity per unit area. The sum of the quantities with standard names surface_litter_mass_content_of_carbon and subsurface_litter_mass_content_of_carbon has the standard name litter_mass_content_of_carbon.,land,kg m-2,,area: time: mean where trees (comment: mask=treeFrac),area: areacella
Emon,cMisc,mon,longitude latitude time,miscellaneous_living_matter_mass_content_of_carbon,Carbon Mass in Other Living Compartments on Land,"e.g., labile, fruits, reserves, etc.",land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cOther,mon,longitude latitude time,miscellaneous_living_matter_mass_content_of_carbon,"Carbon Mass in Vegetation Components Other than Leaves, Stems and Roots","E.g. fruits, seeds, etc.",land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cSoil,mon,longitude latitude time,soil_mass_content_of_carbon,Carbon Mass in Model Soil Pool,Carbon mass in the full depth of the soil model.,land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cSoilAbove1m,mon,longitude latitude time sdepth10,soil_mass_content_of_carbon,Carbon Mass in Soil Pool Above 1m Depth,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.,land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cSoilGrass,mon,longitude latitude time,soil_mass_content_of_carbon,Carbon Mass in Soil on Grass Tiles,"'Content' indicates a quantity per unit area. The 'soil content' of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. For the content between specified levels in the soil, standard names including content_of_soil_layer are used.",land,kg m-2,,area: time: mean where natural_grasses (comment: mask=grassFrac),area: areacella
Emon,cSoilLevels,mon,longitude latitude sdepth time,soil_mass_content_of_carbon,Carbon Mass in Each Model Soil Level (Summed over All Soil Carbon Pools in That Level),"for models with vertically discretised soil carbon, report total soil carbon for each level",land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cSoilPools,mon,longitude latitude soilpools time,soil_mass_content_of_carbon,Carbon Mass in Each Model Soil Pool (Summed over Vertical Levels),"For models with multiple soil carbon pools, report each pool here. If models also have vertical discretisation these should be aggregated",land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cSoilShrub,mon,longitude latitude time,soil_mass_content_of_carbon,Carbon Mass in Soil on Shrub Tiles,"'Content' indicates a quantity per unit area. The 'soil content' of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. For the content between specified levels in the soil, standard names including content_of_soil_layer are used.",land,kg m-2,,area: time: mean where shrubs (comment: mask=shrubFrac),area: areacella
Emon,cSoilTree,mon,longitude latitude time,soil_mass_content_of_carbon,Carbon Mass in Soil on Tree Tiles,"'Content' indicates a quantity per unit area. The 'soil content' of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. For the content between specified levels in the soil, standard names including content_of_soil_layer are used.",land,kg m-2,,area: time: mean where trees (comment: mask=treeFrac),area: areacella
Emon,cStem,mon,longitude latitude time,stem_mass_content_of_carbon,Carbon Mass in Stem,including sapwood and hardwood.,land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cTotFireLut,mon,longitude latitude landUse time,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires,"Total Carbon Loss from Natural and Managed Fire on Land-Use Tile, Including Deforestation Fires [kgC m-2 s-1]","Different from LMON this flux should include all fires occurring on the land use tile, including natural, man-made and deforestation fires",land,kg m-2 s-1,,area: time: mean where sector,area: areacella
Emon,cVegGrass,mon,longitude latitude time,vegetation_carbon_content,Carbon Mass in Vegetation on Grass Tiles,"'Content' indicates a quantity per unit area. 'Vegetation' means any plants e.g. trees, shrubs, grass. Plants are autotrophs i.e. 'producers' of biomass using carbon obtained from carbon dioxide.",land,kg m-2,,area: time: mean where natural_grasses (comment: mask=grassFrac),area: areacella
Emon,cVegShrub,mon,longitude latitude time,vegetation_carbon_content,Carbon Mass in Vegetation on Shrub Tiles,"'Content' indicates a quantity per unit area. 'Vegetation' means any plants e.g. trees, shrubs, grass. Plants are autotrophs i.e. 'producers' of biomass using carbon obtained from carbon dioxide.",land,kg m-2,,area: time: mean where shrubs (comment: mask=shrubFrac),area: areacella
Emon,cVegTree,mon,longitude latitude time,vegetation_carbon_content,Carbon Mass in Vegetation on Tree Tiles,"'Content' indicates a quantity per unit area. 'Vegetation' means any plants e.g. trees, shrubs, grass. Plants are autotrophs i.e. 'producers' of biomass using carbon obtained from carbon dioxide.",land,kg m-2,,area: time: mean where trees (comment: mask=treeFrac),area: areacella
Emon,cWood,mon,longitude latitude time,stem_mass_content_of_carbon,Carbon Mass in Wood,"Carbon mass per unit area in wood, including sapwood and hardwood.",land,kg m-2,,area: mean where land time: mean,area: areacella
Emon,cfadDbze94,mon,longitude latitude alt40 dbze time,histogram_of_equivalent_reflectivity_factor_over_height_above_reference_ellipsoid,CloudSat Radar Reflectivity CFAD,CFAD (Cloud Frequency Altitude Diagrams) are frequency distributions of radar  reflectivity (or lidar scattering ratio) as a function of altitude. The variable cfadDbze94 is defined as the simulated relative frequency of occurrence of radar reflectivity in sampling volumes defined by altitude bins. The radar is observing at a frequency of 94GHz.,atmos,1,,area: time: mean,area: areacella
Emon,cfadLidarsr532,mon,longitude latitude alt40 scatratio time,histogram_of_backscattering_ratio_in_air_over_height_above_reference_ellipsoid,CALIPSO Scattering Ratio CFAD,CFAD (Cloud Frequency Altitude Diagrams) are frequency distributions of radar  reflectivity (or lidar scattering ratio) as a function of altitude. The variable cfadLidarsr532 is defined as the simulated relative frequency of lidar scattering ratio in sampling volumes defined by altitude bins. The lidar is observing at a wavelength of 532nm.,atmos,1,,area: time: mean,area: areacella
Emon,clcalipsoice,mon,longitude latitude alt40 time,ice_cloud_area_fraction_in_atmosphere_layer,CALIPSO Ice Cloud Percentage,Percentage cloud cover in CALIPSO standard atmospheric layers.,atmos,%,,time: mean,area: areacella
Emon,clcalipsoliq,mon,longitude latitude alt40 time,liquid_water_cloud_area_fraction_in_atmosphere_layer,CALIPSO Liquid Cloud Percentage,Percentage liquid water ice cloud cover in CALIPSO standard atmospheric layers.,atmos,%,,time: mean,area: areacella
Emon,cldicemxrat27,mon,longitude latitude plev27 time,cloud_ice_mixing_ratio,Cloud Ice Mixing Ratio,Cloud ice mixing ratio,atmos,1,,time: mean,area: areacella
Emon,cldnci,mon,longitude latitude time,number_concentration_of_ice_crystals_in_air_at_ice_cloud_top,Ice Crystal Number Concentration of Cloud Tops,"Concentration 'as seen from space' over ice-cloud portion of grid cell.  This is the value from uppermost model layer with ice cloud or, if available, it is the sum over all ice cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere. Weight by total ice cloud top fraction (as seen from TOA) of each time sample when computing monthly mean.",atmos,m-3,,area: time: mean,area: areacella
Emon,cldncl,mon,longitude latitude time,number_concentration_of_cloud_liquid_water_particles_in_air_at_liquid_water_cloud_top,Cloud Droplet Number Concentration of Cloud Tops,"Droplets are liquid only.  Report concentration 'as seen from space' over liquid cloudy portion of grid cell.  This is the value from uppermost model layer with liquid cloud or, if available, it is better to sum over all liquid cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere. Weight by total liquid cloud top fraction of  (as seen from TOA) each time sample when computing monthly mean.",atmos,m-3,,area: time: mean,area: areacella
Emon,cldnvi,mon,longitude latitude time,atmosphere_number_content_of_cloud_droplets,Column Integrated Cloud Droplet Number,"Droplets are liquid only.  Values are weighted by liquid cloud fraction in each layer when vertically integrating, and for monthly means the samples are weighted by total liquid cloud fraction (as seen from TOA).",atmos,m-2,,area: time: mean,area: areacella
Emon,cldwatmxrat27,mon,longitude latitude plev27 time,cloud_liquid_water_mixing_ratio,Cloud Water Mixing Ratio,Cloud water mixing ratio,atmos,1,,time: mean,area: areacella
Emon,climodis,mon,longitude latitude time,ice_cloud_area_fraction,MODIS Ice Cloud Area Percentage,"Total ice cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen by the  Moderate Resolution Imaging Spectroradiometer (MODIS). ",atmos,%,,area: time: mean,area: areacella
Emon,clmisr,mon,longitude latitude alt16 tau time,cloud_area_fraction_in_atmosphere_layer,Percentage Cloud Cover as Calculated by the MISR Simulator (Including Error Flag),Cloud percentage in spectral bands and layers as observed by the Multi-angle Imaging SpectroRadiometer (MISR) instrument. The first layer in each profile is reserved for a retrieval error flag.,atmos,%,,area: time: mean,area: areacella
Emon,cltmodis,mon,longitude latitude time,cloud_area_fraction,MODIS Total Cloud Cover Percentage,"Total cloud area fraction (reported as a percentage) for the whole atmospheric column, as seen by the  Moderate Resolution Imaging Spectroradiometer (MODIS). Includes both large-scale and convective cloud.",atmos,%,,area: time: mean,area: areacella
Emon,clwmodis,mon,longitude latitude time,liquid_water_cloud_area_fraction,MODIS Liquid Cloud Percentage,"Mass of cloud liquid water, as seen by the  Moderate Resolution Imaging Spectroradiometer (MODIS). Includes both large-scale and convective cloud.",atmos,%,,area: time: mean,area: areacella
Emon,clwvic,mon,longitude latitude time,atmosphere_mass_content_of_convective_cloud_condensed_water,Convective Condensed Water Path,calculate mass of convective condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,atmos,kg m-2,,area: time: mean,area: areacella
Emon,co23D,mon,longitude latitude alevel time,mass_fraction_of_carbon_dioxide_tracer_in_air,3D-Field of Transported CO2,report 3D field of model simulated atmospheric CO2 mass mixing ration on model levels,atmos,kg kg-1,,area: time: mean,area: areacella
Emon,co2s,mon,longitude latitude time,mole_fraction_of_carbon_dioxide_in_air,Atmosphere CO2,"As co2, but only at the surface",atmos,1e-06,,area: time: mean,area: areacella
Emon,columnmassflux,mon,longitude latitude time,atmosphere_net_upward_convective_mass_flux,Column Integrated Mass Flux,Column integral of (mcu-mcd),atmos,kg m-2 s-1,up,area: time: mean,area: areacella
Emon,conccmcn,mon,longitude latitude alevel time,number_concentration_of_coarse_mode_ambient_aerosol_particles_in_air,Number Concentration Coarse Mode Aerosol,includes all particles with diameter larger than 1 micron,atmos,m-3,,area: time: mean,area: areacella
